"","result.all"
"DEN versus all",0.940548780487805
"NYC versus all",0.959149546106068
"SAC versus all",0.991219008264463
"BAL versus all",0.875145180023229
"MIN versus all",0.94529262086514
"SAN versus all",0.884436701509872
"+ DEN NYC +",0.998409331919406
"+ DEN SAC +",1
"+ DEN BAL +",0.923344947735192
"+ DEN MIN +",1
"+ DEN SAN +",0.89198606271777
"+ NYC SAC +",1
"+ NYC BAL +",0.897515527950311
"+ NYC MIN +",0.898550724637681
"+ NYC SAN +",0.986024844720497
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.933035714285714
"+ BAL MIN +",1
"+ BAL SAN +",0.928571428571429
"+ MIN SAN +",0.976190476190476
