"","result.all"
"DEN versus all",0.919715447154472
"NYC versus all",0.942666029622551
"SAC versus all",0.980888429752066
"BAL versus all",0.916376306620209
"MIN versus all",0.974554707379135
"SAN versus all",0.873403019744483
"+ DEN NYC +",0.991516436903499
"+ DEN SAC +",0.986280487804878
"+ DEN BAL +",0.914634146341463
"+ DEN MIN +",1
"+ DEN SAN +",0.836236933797909
"+ NYC SAC +",0.987771739130435
"+ NYC BAL +",0.903726708074534
"+ NYC MIN +",0.967391304347826
"+ NYC SAN +",0.986024844720497
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.924107142857143
"+ BAL MIN +",1
"+ BAL SAN +",0.897959183673469
"+ MIN SAN +",0.916666666666667
