"","result.all"
"DEN versus all",0.911331300813008
"NYC versus all",0.947204968944099
"SAC versus all",0.9375
"BAL versus all",0.918118466898955
"MIN versus all",0.968193384223919
"SAN versus all",0.867015098722416
"+ DEN NYC +",0.991516436903499
"+ DEN SAC +",0.98780487804878
"+ DEN BAL +",0.909407665505227
"+ DEN MIN +",1
"+ DEN SAN +",0.836236933797909
"+ NYC SAC +",0.986413043478261
"+ NYC BAL +",0.916149068322981
"+ NYC MIN +",0.97463768115942
"+ NYC SAN +",0.962732919254658
"+ SAC BAL +",0.986607142857143
"+ SAC MIN +",1
"+ SAC SAN +",0.928571428571429
"+ BAL MIN +",1
"+ BAL SAN +",0.908163265306122
"+ MIN SAN +",0.880952380952381
